Station_ID,Station_Name,Station_City,Station_Lattitude,Station_Longitude,Station_Gas_Price,Station_Premium_Price,Station_Diesel_Price
1,Cabo Rojo Gas,Hormigueros,18.1238286,-67.1245766,-1,92.7,78.7
2,Matos Service Station,Aguada,18.3715889,-67.1950071,-1,92.7,78.7
3,Total Gas Station,Mayagüez,18.228181,-67.160769,93.7,92.7,78.7
4,GULF Gas Station Mayagüez,Mayagüez,18.2237427,-67.1578752,91.7,92.7,78.7
5,Garaje La Variante,Añasco,18.2962688,-67.1984221,-1,92.7,78.7
6,Puma AGUADA /DAUHAJRE LLC #534,Aguada,18.3769159,-67.178094,92.7,92.7,78.7
7,Puma,Rincón,18.3139443,-67.2240453,92.7,92.7,78.7
8,TotalEnergies Pico de Piedra,Aguada,18.3812644,-67.2125188,93.7,92.7,78.7
9,Rincon Racing Station,Rincón,18.352063,-67.2424007,-1,92.7,78.7
10,Phillips 66,Aguada,18.3823363,-67.1813385,91.7,92.7,78.7
11,Mobil - Gas Station,Aguada,18.3793623,-67.1853292,92.7,92.7,78.7
12,Mobil - Gas Station,Aguadilla,18.2959899,-67.2093142,92.7,92.7,78.7
13,Texaco,Rincón,18.3254585,-67.2455828,93.7,92.7,78.7
14,Gulf,Rincón,18.3606037,-67.2503671,91.7,92.7,78.7
15,To Go! #65,Rincón,18.3376355,-67.25229,-1,92.7,78.7
16,JR GAS STATION,Aguada,18.3222178,-67.1730367,-1,92.7,78.7
17,Gulf,Mayagüez,18.1737794,-67.1751419,91.7,92.7,78.7
18,Gulf,Rincón,18.3409677,-67.2505378,91.7,92.7,78.7
19,Gulf,Aguada,18.3869751,-67.1736141,91.7,92.7,78.7
20,Gulf,Aguada,18.3811607,-67.1918159,91.7,92.7,78.7
21,Subway,Rincón,18.3253809,-67.2456485,-1,92.7,78.7
22,GAS Burgers,Rincón,18.3374829,-67.2523761,-1,92.7,78.7
23,TotalEnergies Gas Station,Aguada,18.381287,-67.2124937,93.7,92.7,78.7
24,Centro Gas Hiram Inc,Aguada,18.3802619,-67.1893482,-1,92.7,78.7
25,MOBIL - Gas Station,Mayagüez,18.16505,-67.1488802,92.7,92.7,78.7
26,Puma,Hormigueros,18.1284556,-67.1009178,92.7,92.7,78.7
27,Ecomaxx IDA S/S,Lajas,18.0492138,-67.0624082,93.7,92.7,78.7
28,Cabo Rojo Gas,Mayagüez,18.2012527,-67.1367527,-1,92.7,78.7
29,Garden Center at The Home Depot,Mayagüez,18.240453,-67.1636689,-1,92.7,78.7
30,Family Wheels LLC,Aguada,18.3243559,-67.1478389,-1,92.7,78.7
31,Justiniano Tire & Auto Parts Shop (Gomera),San Germán,18.1092035,-67.0516628,-1,92.7,78.7
32,Praxair Mayaguez,Mayagüez,18.2061028,-67.1466878,-1,92.7,78.7
33,Su Tienda Autoparts (Mopar) en Mayaguez,Mayagüez,18.205762,-67.151965,-1,92.7,78.7
34,Edis Gas,Sabana Grande,18.0792877,-66.9610832,-1,92.7,78.7
35,Puma Gas Station - Gasolinera Puma,San Sebastián,18.3373376,-66.9964203,92.7,92.7,78.7
36,Empire Gas,Las Marías,18.2514449,-66.9992259,-1,92.7,78.7
37,Cabo Rojo Gas,Lajas,18.029072,-67.0497873,-1,92.7,78.7
38,Shield Gas,Mayagüez,18.1787118,-67.1713918,-1,92.7,78.7
39,Agencia Hipica 125,Las Marías,18.250391,-67.0021166,-1,92.7,78.7
40,Gulf Gas Station,Añasco,18.2968402,-67.1428357,91.7,92.7,78.7
41,Gulf,Las Marías,18.2532245,-66.98837,91.7,92.7,78.7
42,Mobil - Gas Station,Las Marías,18.2503998,-67.0021255,92.7,92.7,78.7
43,Gas Propano,San Germán,18.0701563,-67.0429067,-1,92.7,78.7
44,Tropi Gas Mayaguez,Mayagüez,18.2423534,-67.1593911,-1,92.7,78.7
45,Ardere Pizza e Pasta,Mayagüez,18.2294483,-67.1364893,-1,92.7,78.7
46,Gomera el Badén,Lajas,18.039114,-67.090099,-1,92.7,78.7
47,Mobil | Mani Service Station,Mayagüez,18.249827,-67.160381,92.7,92.7,78.7
48,Garaje Damian,Lajas,18.0282049,-67.0501533,-1,92.7,78.7
49,Ecomaxx,Lajas,18.049277,-67.062355,93.7,92.7,78.7
50,Cabo Rojo Auto Collision,Cabo Rojo,18.1158876,-67.1524092,-1,92.7,78.7
51,Ecomaxx,Mayagüez,18.1816108,-67.1441269,93.7,92.7,78.7
52,Gulf-San German Gas Station P.R,San Germán,18.0795873,-67.0095278,91.7,92.7,78.7
53,Puma Waldemar Ramos 646,Cabo Rojo,18.0884032,-67.1382853,92.7,92.7,78.7
54,TotalEnergies Barrio Lavadero,Hormigueros,18.1376211,-67.1353093,93.7,92.7,78.7
55,"Ecomaxx, Las Arenas SS - Boqueron",Cabo Rojo,18.0276037,-67.1396873,93.7,92.7,78.7
56,Ecomaxx - Power Fuel,Cabo Rojo,18.0414678,-67.1440397,93.7,92.7,78.7
57,Garaje Total Estacion Mz0113,San Germán,18.0835932,-67.0326593,93.7,92.7,78.7
58,Rapid Oil Change Mayaguez,Mayagüez,18.1663409,-67.1507251,-1,92.7,78.7
59,Puma Mayagüez Carr. #2,Mayagüez,18.1647371,-67.1477378,92.7,92.7,78.7
60,Ecomaxx Parguera,Lajas,17.9762064,-67.0494757,93.7,92.7,78.7
61,EcoMaxx RJ&M Service Station,Mayagüez,18.1694876,-67.1224419,93.7,92.7,78.7
62,Ecomaxx Mayagüez Pueblo,Mayagüez,18.2050784,-67.1405468,93.7,92.7,78.7
63,John John Service Station & Mini Market,Lajas,18.0498333,-67.0384482,-1,92.7,78.7
64,Puma Service Station,Hormigueros,18.1541942,-67.142487,92.7,92.7,78.7
65,Ecomaxx,Cabo Rojo,18.0244495,-67.1507351,93.7,92.7,78.7
66,TotalEnergies Barrio Palmarejo,Lajas,18.0417513,-67.0759048,93.7,92.7,78.7
67,TotalEnergies Conde Ávila,Cabo Rojo,18.1125334,-67.161445,93.7,92.7,78.7
68,Bryan's Service Station | GASOLINERA TOTAL EL COMBATE,Cabo Rojo,17.9887634,-67.1697123,92.7,92.7,78.7
69,Nautilus puma corp/ QUALITY GAS SS,Lajas,18.0098765,-67.0704714,92.7,92.7,78.7
70,TotalEnergies Carretera 100,Cabo Rojo,18.1202835,-67.1614834,93.7,92.7,78.7
71,TotalEnergies Avenida Casto Perez,San Germán,18.0835306,-67.0326884,93.7,92.7,78.7
72,TotalEnergies Belmonte,Mayagüez,18.1878244,-67.1429252,93.7,92.7,78.7
73,Puma 929,San Germán,18.0855164,-67.0315354,92.7,92.7,78.7
74,Planta de Gas Cabo Rojo Gas,Cabo Rojo,18.04082,-67.1893479,-1,92.7,78.7
75,Puma Miradero 59,Mayagüez,18.2292876,-67.1363699,92.7,92.7,78.7
76,TotalEnergies Sábalos,Mayagüez,18.1773946,-67.1516901,93.7,92.7,78.7
77,MOBIL Petroleum,Hormigueros,18.1352532,-67.1242913,92.7,92.7,78.7
78,Texaco,Lajas,18.0481062,-67.0591689,93.7,92.7,78.7
79,Puma Energy,San Germán,18.1049041,-67.0496605,92.7,92.7,78.7
80,VP Racing Fuels San Germán,San Germán,18.0937206,-67.0323254,-1,92.7,78.7
81,TotalEnergies Sabana Yegua,Lajas,18.0524818,-67.0584386,93.7,92.7,78.7
82,Ultra Top Fuel - Mayagüez Mall,Hormigueros,18.1533352,-67.1416988,92.7,92.7,78.7
83,Puma,Mayagüez,18.2059542,-67.1482156,92.7,92.7,78.7
84,Puma,San Germán,18.0810894,-67.0398623,92.7,92.7,78.7
85,Top Fuel,San Germán,18.0930486,-67.071167,92.7,92.7,78.7
86,Omar Service Station,Lajas,18.0471693,-67.0686964,-1,92.7,78.7
87,Garaje Gulf,Lajas,18.060343,-67.054043,91.7,92.7,78.7
88,TotalEnergies Joyuda,Cabo Rojo,18.1154642,-67.182309,93.7,92.7,78.7
89,Gulf Combate,Cabo Rojo,17.9820232,-67.1845614,91.7,92.7,78.7
90,GULF-San German Service Station,San Germán,18.1048722,-67.058951,91.7,92.7,78.7
91,Puma,Mayagüez,18.2060055,-67.1298431,92.7,92.7,78.7
92,Cumberland Farms,Mayagüez,18.1843614,-67.143346,-1,92.7,78.7
93,TotalEnergies Combate,Cabo Rojo,17.988692,-67.1694869,93.7,92.7,78.7
94,Puma 909,Cabo Rojo,18.0660449,-67.1525124,92.7,92.7,78.7
95,Rapid Oil Change Cabo Rojo,Cabo Rojo,18.1009211,-67.1575885,-1,92.7,78.7
96,Ecomaxx,Lajas,18.0097416,-67.0702481,93.7,92.7,78.7
97,Texaco Gas Station,Lajas,18.0068404,-67.0496152,93.7,92.7,78.7
98,Ultra Top Fuel - Antigua Calle Post (Mayagüez),Mayagüez,18.1940467,-67.1426369,92.7,92.7,78.7
99,Ultra Top Fuel,Cabo Rojo,18.0940034,-67.1727889,92.7,92.7,78.7
100,Gulf Cabo Rojo RG,Cabo Rojo,18.0885571,-67.138792,91.7,92.7,78.7
101,Gasolinera Gulf,Cabo Rojo,18.1047865,-67.1588773,92.7,92.7,78.7
102,ULTRA TOP FUEL-HORMIGUEROS Service Station,Hormigueros,18.1213292,-67.0873891,92.7,92.7,78.7
103,Naranjales Service Station,Mayagüez,18.2084598,-67.058262,-1,92.7,78.7
104,"American Gasoline Balboa, Mayaguez",Mayagüez,18.2080983,-67.1248729,92.7,92.7,78.7
105,Texaco,San Germán,18.0824203,-67.0503444,93.7,92.7,78.7
106,Ultra Top Fuel,Mayagüez,18.1617799,-67.1495828,92.7,92.7,78.7
107,Shell,Mayagüez,18.2018241,-67.1424042,93.7,92.7,78.7
108,Shell,Mayagüez,18.2003753,-67.1483578,93.7,92.7,78.7
109,Total Gas Station,Lajas,18.0429597,-67.0585071,93.7,92.7,78.7
110,Mobil-San German Gas Station P.R,San Germán,18.0795873,-67.0095278,92.7,92.7,78.7
111,GO GAS STATION INC,Hormigueros,18.153212,-67.1418,-1,92.7,78.7
112,Texaco 939,Mayagüez,18.194793,-67.142765,93.7,92.7,78.7
113,Doggie Gas,Cabo Rojo,18.0266755,-67.1749012,-1,92.7,78.7
114,SVS Gas Station,Mayagüez,18.2409877,-67.1601869,-1,92.7,78.7
115,"American Gasoline Post, Mayaguez",Mayagüez,18.1910232,-67.1433737,92.7,92.7,78.7
116,Ultra Top Fuel Los Llanos,Lajas,18.0294354,-67.1092564,92.7,92.7,78.7
117,RE FUEL STORE LLC,Hormigueros,18.1212916,-67.0874115,-1,92.7,78.7
118,Gulf Gas Station,Mayagüez,18.1831487,-67.1433007,91.7,92.7,78.7
119,Texaco Gas Station,Aguada,18.3693238,-67.1617288,93.7,92.7,78.7
120,Ultra Top Fuel,Añasco,18.2995912,-67.1565643,92.7,92.7,78.7
121,Gulf Self Service Station,Aguadilla,18.4528076,-67.0937982,91.7,92.7,78.7
122,TotalEnergies Gate 5,Aguadilla,18.501954,-67.121375,93.7,92.7,78.7
123,Gulf,Moca,18.3954736,-67.1104135,91.7,92.7,78.7
124,TotalEnergies Barrio Aguacate,Aguadilla,18.4839381,-67.1109912,93.7,92.7,78.7
125,Centro Gas Hiram Inc.Planta,Aguada,18.3625088,-67.1618284,-1,92.7,78.7
126,Messer Gas,Aguadilla,18.4470237,-67.1097318,-1,92.7,78.7
127,Jobos Gas,Isabela,18.4996884,-67.0720509,-1,92.7,78.7
128,CAPA GAS TIRE,Moca,18.3671648,-67.0426096,-1,92.7,78.7
129,PUERTO RICO GAS ENERGY,Aguada,18.3800393,-67.1884219,-1,92.7,78.7
130,TotalEnergies Barrio Voladora,Moca,18.3804154,-67.090907,93.7,92.7,78.7
131,Ecomaxx Moca Urbano,Moca,18.3938174,-67.1113012,93.7,92.7,78.7
132,Crespo's Gas,Añasco,18.3012544,-67.1440514,-1,92.7,78.7
133,Gas WLA Inc.,Moca,18.3961365,-67.126267,-1,92.7,78.7
134,Light Gas Aguada,Aguada,18.3705402,-67.1637471,-1,92.7,78.7
135,Centro de distribucion de Gas Propano,Aguadilla,18.4480983,-67.1089865,-1,92.7,78.7
136,Rodriguez gas,Aguadilla,18.4897996,-67.0986342,-1,92.7,78.7
137,Tropi gas,Isabela,18.4716179,-67.0031748,-1,92.7,78.7
138,Ivan Gas,Aguadilla,18.4611148,-67.1243466,-1,92.7,78.7
139,Gulf Bajuras Convenience Store,Isabela,18.5124935,-67.0864999,91.7,92.7,78.7
140,Ecomaxx,Isabela,18.5000007,-67.025303,93.7,92.7,78.7
141,TotalEnergies Arenales,Isabela,18.451815,-67.034442,93.7,92.7,78.7
142,Garage Chory,Moca,18.3953743,-67.0970326,-1,92.7,78.7
143,Ecomaxx | Chris Racing Station,Aguada,18.3319661,-67.1563688,93.7,92.7,78.7
144,Mobil - Gas Station,San Sebastián,18.3497456,-67.0288147,92.7,92.7,78.7
145,TotalEnergies La Victoria,Aguadilla,18.4100672,-67.1531629,93.7,92.7,78.7
146,American Mini Market,Aguadilla,18.458393,-67.1499154,-1,92.7,78.7
147,Mobil - Gas Station,Aguadilla,18.4018506,-67.1476935,92.7,92.7,78.7
148,Gasolinera Ecomaxx Aguadilla,Aguadilla,18.4079409,-67.1544752,92.7,92.7,78.7
149,Mobil - Gas Station,San Sebastián,18.3045129,-67.0214585,92.7,92.7,78.7
150,Ecomaxx Gas Station,Aguada,18.3343464,-67.1328643,93.7,92.7,78.7
151,La Curva,Moca,18.3339673,-67.0569091,-1,92.7,78.7
152,Hato arriba Gas Station (Ultra),Moca,18.3740006,-67.0545065,-1,92.7,78.7
153,Ecomaxx,Aguadilla,18.4392214,-67.1295779,93.7,92.7,78.7
